# KRName IVSes
6D6A FE00; Standardized_Variants; CID+23486
6DCB FE00; Standardized_Variants; CID+23638
6DDA FE00; Standardized_Variants; CID+23669
6DEA FE00; Standardized_Variants; CID+23700
6E9C FE00; Standardized_Variants; CID+23991
6EBA FE00; Standardized_Variants; CID+24046
6ED1 FE00; Standardized_Variants; CID+24100
6F0F FE00; Standardized_Variants; CID+24212
6F23 FE00; Standardized_Variants; CID+24250
6FEB FE00; Standardized_Variants; CID+24606
6FFE FE00; Standardized_Variants; CID+24641
7099 FE00; Standardized_Variants; CID+24952
70C8 FE00; Standardized_Variants; CID+25036
70D9 FE00; Standardized_Variants; CID+25067
7149 FE00; Standardized_Variants; CID+25275
71CE FE00; Standardized_Variants; CID+25562
71D0 FE00; Standardized_Variants; CID+25566
7210 FE00; Standardized_Variants; CID+25704
721B FE00; Standardized_Variants; CID+25727
7262 FE00; Standardized_Variants; CID+25865
72C0 FE00; Standardized_Variants; CID+26003
72FC FE00; Standardized_Variants; CID+26092
7375 FE00; Standardized_Variants; CID+26303
7387 FE00; Standardized_Variants; CID+26342
7387 FE01; Standardized_Variants; CID+26342
73B2 FE00; Standardized_Variants; CID+26401
73DE FE00; Standardized_Variants; CID+26458
7406 FE00; Standardized_Variants; CID+26517
7409 FE00; Standardized_Variants; CID+26522
7469 FE00; Standardized_Variants; CID+26687
7489 FE00; Standardized_Variants; CID+26745
7498 FE00; Standardized_Variants; CID+26769
7559 FE00; Standardized_Variants; CID+27148
7565 FE00; Standardized_Variants; CID+27172
7570 FE00; Standardized_Variants; CID+27192
75E2 FE00; Standardized_Variants; CID+27394
7642 FE00; Standardized_Variants; CID+27597
7669 FE00; Standardized_Variants; CID+27678
76E7 FE00; Standardized_Variants; CID+27878
7701 FE00; Standardized_Variants; CID+27921
786B FE00; Standardized_Variants; CID+28488
788C FE00; Standardized_Variants; CID+28539
78CA FE00; Standardized_Variants; CID+28642
78FB FE00; Standardized_Variants; CID+28737
792A FE00; Standardized_Variants; CID+28810
797F FE00; Standardized_Variants; CID+28968
79AE FE00; Standardized_Variants; CID+29066
79CA FE00; Standardized_Variants; CID+29117
7A1C FE00; Standardized_Variants; CID+29251
7ACB FE00; Standardized_Variants; CID+29640
7B20 FE00; Standardized_Variants; CID+29804
7C3E FE00; Standardized_Variants; CID+30400
7C60 FE00; Standardized_Variants; CID+30481
7C92 FE00; Standardized_Variants; CID+30593
7CD6 FE00; Standardized_Variants; CID+58910
